id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
1386094,1,0,1,UT Khawaja,C Munro,OP Stone,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,0,2,UT Khawaja,C Munro,OP Stone,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,0,3,UT Khawaja,C Munro,OP Stone,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,0,4,UT Khawaja,C Munro,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,0,5,C Munro,UT Khawaja,OP Stone,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,0,6,C Munro,UT Khawaja,OP Stone,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,1,1,UT Khawaja,C Munro,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,1,2,UT Khawaja,C Munro,JS Paris,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,1,3,UT Khawaja,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,1,4,C Munro,UT Khawaja,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,1,5,C Munro,UT Khawaja,JS Paris,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,1,6,C Munro,UT Khawaja,JS Paris,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,2,1,UT Khawaja,C Munro,OP Stone,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,2,2,UT Khawaja,C Munro,OP Stone,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,2,3,UT Khawaja,C Munro,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,2,4,C Munro,UT Khawaja,OP Stone,0,1,1,1,0,,,,legbyes,Brisbane Heat,Melbourne Stars
1386094,1,2,5,UT Khawaja,C Munro,OP Stone,0,1,1,1,0,,,,legbyes,Brisbane Heat,Melbourne Stars
1386094,1,2,6,C Munro,UT Khawaja,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,3,1,C Munro,UT Khawaja,GJ Maxwell,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,3,2,C Munro,UT Khawaja,GJ Maxwell,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,3,3,C Munro,UT Khawaja,GJ Maxwell,0,5,5,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,3,4,C Munro,UT Khawaja,GJ Maxwell,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,3,5,C Munro,UT Khawaja,GJ Maxwell,6,0,6,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,3,6,C Munro,UT Khawaja,GJ Maxwell,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,3,7,C Munro,UT Khawaja,GJ Maxwell,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,4,1,UT Khawaja,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,4,2,C Munro,UT Khawaja,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,4,3,UT Khawaja,C Munro,NM Coulter-Nile,0,1,1,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,4,4,UT Khawaja,C Munro,NM Coulter-Nile,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,4,5,UT Khawaja,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,4,6,C Munro,UT Khawaja,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,4,7,UT Khawaja,C Munro,NM Coulter-Nile,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,5,1,C Munro,UT Khawaja,Usama Mir,0,1,1,1,0,,,,legbyes,Brisbane Heat,Melbourne Stars
1386094,1,5,2,UT Khawaja,C Munro,Usama Mir,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,5,3,C Munro,UT Khawaja,Usama Mir,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,5,4,C Munro,UT Khawaja,Usama Mir,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,5,5,C Munro,UT Khawaja,Usama Mir,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,5,6,C Munro,UT Khawaja,Usama Mir,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,6,1,C Munro,UT Khawaja,GJ Maxwell,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,6,2,C Munro,UT Khawaja,GJ Maxwell,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,6,3,C Munro,UT Khawaja,GJ Maxwell,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,6,4,UT Khawaja,C Munro,GJ Maxwell,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,6,5,UT Khawaja,C Munro,GJ Maxwell,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,6,6,UT Khawaja,C Munro,GJ Maxwell,0,0,0,1,1,caught,UT Khawaja,TF Rogers,,Brisbane Heat,Melbourne Stars
1386094,1,7,1,C Munro,M Labuschagne,LA Dawson,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,7,2,C Munro,M Labuschagne,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,7,3,M Labuschagne,C Munro,LA Dawson,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,7,4,M Labuschagne,C Munro,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,7,5,C Munro,M Labuschagne,LA Dawson,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,7,6,C Munro,M Labuschagne,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,8,1,C Munro,M Labuschagne,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,8,2,M Labuschagne,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,8,3,C Munro,M Labuschagne,NM Coulter-Nile,0,2,2,1,0,,,,legbyes,Brisbane Heat,Melbourne Stars
1386094,1,8,4,C Munro,M Labuschagne,NM Coulter-Nile,6,0,6,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,8,5,C Munro,M Labuschagne,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,8,6,M Labuschagne,C Munro,NM Coulter-Nile,3,0,3,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,9,1,M Labuschagne,C Munro,Usama Mir,0,2,2,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,9,2,C Munro,M Labuschagne,Usama Mir,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,9,3,M Labuschagne,C Munro,Usama Mir,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,9,4,C Munro,M Labuschagne,Usama Mir,6,0,6,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,9,5,C Munro,M Labuschagne,Usama Mir,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,9,6,M Labuschagne,C Munro,Usama Mir,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,9,7,M Labuschagne,C Munro,Usama Mir,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,10,1,M Labuschagne,C Munro,GJ Maxwell,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,10,2,C Munro,M Labuschagne,GJ Maxwell,6,0,6,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,10,3,C Munro,M Labuschagne,GJ Maxwell,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,10,4,M Labuschagne,C Munro,GJ Maxwell,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,10,5,C Munro,M Labuschagne,GJ Maxwell,0,5,5,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,10,6,C Munro,M Labuschagne,GJ Maxwell,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,10,7,C Munro,M Labuschagne,GJ Maxwell,6,0,6,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,11,1,M Labuschagne,C Munro,LA Dawson,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,11,2,M Labuschagne,C Munro,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,11,3,C Munro,M Labuschagne,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,11,4,M Labuschagne,C Munro,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,11,5,C Munro,M Labuschagne,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,11,6,M Labuschagne,C Munro,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,12,1,M Labuschagne,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,12,2,C Munro,M Labuschagne,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,12,3,M Labuschagne,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,12,4,C Munro,M Labuschagne,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,12,5,M Labuschagne,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,12,6,C Munro,M Labuschagne,NM Coulter-Nile,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,13,1,M Labuschagne,C Munro,LA Dawson,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,13,2,M Labuschagne,C Munro,LA Dawson,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,13,3,M Labuschagne,C Munro,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,13,4,C Munro,M Labuschagne,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,13,5,M Labuschagne,C Munro,LA Dawson,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,13,6,M Labuschagne,C Munro,LA Dawson,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,14,1,M Labuschagne,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,14,2,C Munro,M Labuschagne,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,14,3,M Labuschagne,C Munro,JS Paris,0,0,0,1,1,caught,M Labuschagne,MP Stoinis,,Brisbane Heat,Melbourne Stars
1386094,1,14,4,SW Billings,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,14,5,C Munro,SW Billings,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,14,6,SW Billings,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,15,1,SW Billings,C Munro,OP Stone,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,15,2,SW Billings,C Munro,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,15,3,C Munro,SW Billings,OP Stone,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,15,4,C Munro,SW Billings,OP Stone,0,1,1,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,15,5,C Munro,SW Billings,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,15,6,SW Billings,C Munro,OP Stone,0,1,1,1,0,,,,legbyes,Brisbane Heat,Melbourne Stars
1386094,1,15,7,C Munro,SW Billings,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,16,1,C Munro,SW Billings,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,16,2,C Munro,SW Billings,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,16,3,SW Billings,C Munro,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,16,4,SW Billings,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,16,5,C Munro,SW Billings,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,16,6,SW Billings,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,17,1,SW Billings,C Munro,OP Stone,6,0,6,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,17,2,SW Billings,C Munro,OP Stone,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,17,3,C Munro,SW Billings,OP Stone,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,17,4,C Munro,SW Billings,OP Stone,0,1,1,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,17,5,C Munro,SW Billings,OP Stone,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,17,6,C Munro,SW Billings,OP Stone,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,17,7,C Munro,SW Billings,OP Stone,0,1,1,1,0,,,,noballs,Brisbane Heat,Melbourne Stars
1386094,1,17,8,C Munro,SW Billings,OP Stone,2,0,2,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,18,1,SW Billings,C Munro,NM Coulter-Nile,0,0,0,1,1,caught,SW Billings,HWR Cartwright,,Brisbane Heat,Melbourne Stars
1386094,1,18,2,M Bryant,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,18,3,C Munro,M Bryant,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,18,4,M Bryant,C Munro,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,18,5,C Munro,M Bryant,NM Coulter-Nile,0,1,1,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,18,6,C Munro,M Bryant,NM Coulter-Nile,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,18,7,M Bryant,C Munro,NM Coulter-Nile,0,0,0,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,19,1,C Munro,M Bryant,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,19,2,M Bryant,C Munro,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,19,3,C Munro,M Bryant,JS Paris,0,1,1,1,0,,,,wides,Brisbane Heat,Melbourne Stars
1386094,1,19,4,C Munro,M Bryant,JS Paris,1,0,1,1,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,19,5,M Bryant,C Munro,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,19,6,M Bryant,C Munro,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,1,19,7,M Bryant,C Munro,JS Paris,4,0,4,0,0,,,,,Brisbane Heat,Melbourne Stars
1386094,2,0,1,TF Rogers,SB Harper,MG Neser,1,0,1,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,0,2,SB Harper,TF Rogers,MG Neser,4,0,4,0,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,0,3,SB Harper,TF Rogers,MG Neser,0,0,0,1,1,lbw,SB Harper,,,Melbourne Stars,Brisbane Heat
1386094,2,0,4,JA Burns,TF Rogers,MG Neser,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,0,5,JA Burns,TF Rogers,MG Neser,0,1,1,1,0,,,,legbyes,Melbourne Stars,Brisbane Heat
1386094,2,0,6,TF Rogers,JA Burns,MG Neser,0,0,0,1,1,caught,TF Rogers,SW Billings,,Melbourne Stars,Brisbane Heat
1386094,2,1,1,JA Burns,GJ Maxwell,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,1,2,JA Burns,GJ Maxwell,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,1,3,JA Burns,GJ Maxwell,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,1,4,JA Burns,GJ Maxwell,XC Bartlett,1,0,1,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,1,5,GJ Maxwell,JA Burns,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,1,6,GJ Maxwell,JA Burns,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,2,1,JA Burns,GJ Maxwell,MG Neser,2,0,2,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,2,2,JA Burns,GJ Maxwell,MG Neser,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,2,3,JA Burns,GJ Maxwell,MG Neser,6,0,6,0,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,2,4,JA Burns,GJ Maxwell,MG Neser,2,0,2,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,2,5,JA Burns,GJ Maxwell,MG Neser,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,2,6,JA Burns,GJ Maxwell,MG Neser,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,3,1,GJ Maxwell,JA Burns,SH Johnson,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,3,2,GJ Maxwell,JA Burns,SH Johnson,2,0,2,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,3,3,GJ Maxwell,JA Burns,SH Johnson,4,0,4,0,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,3,4,GJ Maxwell,JA Burns,SH Johnson,4,0,4,0,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,3,5,GJ Maxwell,JA Burns,SH Johnson,6,0,6,0,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,3,6,GJ Maxwell,JA Burns,SH Johnson,4,0,4,0,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,4,1,JA Burns,GJ Maxwell,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,4,2,JA Burns,GJ Maxwell,XC Bartlett,1,0,1,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,4,3,GJ Maxwell,JA Burns,XC Bartlett,0,0,0,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,4,4,GJ Maxwell,JA Burns,XC Bartlett,1,0,1,1,0,,,,,Melbourne Stars,Brisbane Heat
1386094,2,4,5,JA Burns,GJ Maxwell,XC Bartlett,1,0,1,1,0,,,,,Melbourne Stars,Brisbane Heat
